,full_name,brand,capacity,cycle,size,energy_usage,blanket,wifi,load_sensor,delay,control_panel,vapor,anti_alergy,baby_p,sensitive_p,child_lock,price,image
65,Siemens WN54A2X0TR 1400,Siemens,Orta Kapasite,Yüksek Devir,Standart Boyut,Önemli,YOK,YOK,YOK,VAR,VAR,YOK,YOK,YOK,VAR,VAR,13750.0, https://cdn.akakce.com/siemens/siemens-wn54a2x0tr-1400-devir-10-kg-6-kg-kurutmali-z.jpg
66,Samsung WD5000T WD90TA046BE1AH,Samsung,Orta Kapasite,Yüksek Devir,YOK,Önemsiz,YOK,YOK,YOK,VAR,VAR,VAR,YOK,YOK,VAR,VAR,8045.43, https://cdn.akakce.com/samsung/samsung-wd5000t-wd90ta046be1ah-air-wash-1400-devir-9-kg-6-kg-kurutmali-z.jpg
67,Bosch WAU24S90TR 1200,Bosch,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,VAR,YOK,VAR,YOK,YOK,YOK,VAR,YOK,5672.07, https://cdn.akakce.com/bosch/bosch-wau24s90tr-1200-devir-9-kg-z.jpg
68,Seg SCM 7L1000,Seg,Orta Kapasite,Orta Devir,YOK,Önemsiz,YOK,YOK,YOK,VAR,VAR,YOK,YOK,YOK,VAR,VAR,2230.03, https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F111%2F600%2F110000057813613%2Ejpg
69,Altus AL 7105,Altus,Orta Kapasite,Orta Devir,Standart Boyut,Önemsiz,VAR,YOK,YOK,YOK,VAR,YOK,VAR,YOK,VAR,YOK,2449.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fimg%2Epttavm%2Ecom%2Fpimages%2F592%2F125%2F715%2F61652b31dfee0%2Ejpeg%3Fv%3D201910111519
70,Electrolux EW7W3164LB A,Electrolux,Orta Kapasite,Yüksek Devir,YOK,Önemsiz,YOK,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,9399.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fn11scdn%2Eakamaized%2Enet%2Fa1%2F1024%2Felektronik%2Fcamasir%2Dmakinesi%2Felectrolux%2Dew7w3164lb%2Da%2D1600%2Ddevir%2D10%2Dkg%2Dyikama%2D6%2Dkg%2Dkurutma%2Dcamasir%2Dmakinesi%2Dbeyaz%5F%5F0342449070359071%2Ejpg
71,Bosch WAJ20181TR 1000,Bosch,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,YOK,YOK,YOK,VAR,VAR,YOK,YOK,YOK,VAR,VAR,3999.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fpicscdn%2Eredblue%2Ede%2Fdoi%2FASSET%5FMMS%5F81515992%2Ffee%5F786%5F587%5Fpng
72,Regal CM 101202,Regal,Orta Kapasite,Orta Devir,Standart Boyut,Önemsiz,VAR,YOK,YOK,YOK,VAR,YOK,VAR,YOK,YOK,VAR,3440.07, https://cdn.akakce.com/regal/regal-cm-101202-1200-devir-10-kg-z.jpg
73,Hoover H3DS 5106TAME-17,Hoover,Orta Kapasite,Yüksek Devir,Standart Boyut,Önemli,YOK,YOK,YOK,YOK,VAR,VAR,YOK,YOK,YOK,VAR,5043.03, https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F102%2F600%2F110000045841030%2Ejpg
74,Bosch WAL28PH0TR ActiveOxygen,Bosch,Orta Kapasite,Yüksek Devir,Standart Boyut,Az Önemli,VAR,VAR,YOK,VAR,VAR,YOK,VAR,VAR,VAR,VAR,7449.0, https://cdn.akakce.com/bosch/bosch-wal28ph0tr-activeoxygen-a-1400-devir-10-kg-z.jpg
75,Grundig GWM 91014,Grundig,Orta Kapasite,Yüksek Devir,YOK,Önemli,VAR,VAR,YOK,VAR,VAR,VAR,VAR,YOK,VAR,VAR,3589.0, https://cdn.akakce.com/grundig/grundig-gwm-91014-wi-fi-9-kg-1000-devir-z.jpg
76,Beko BK 9101,Beko,Orta Kapasite,Orta Devir,YOK,Çok Önemli,VAR,YOK,YOK,YOK,VAR,YOK,YOK,VAR,VAR,VAR,4330.0, https://cdn.akakce.com/beko/beko-bk-9101-ey-a-1000-devir-9-kg-z.jpg
77,Vestfrost VF CM,Vestfrost,Orta Kapasite,Orta Devir,YOK,Çok Önemli,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,2798.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F40%2F600%2F10675967295538%2Ejpg
78,LG F4R5VGW2T Wi-Fi,LG,Orta Kapasite,Yüksek Devir,YOK,Önemli,YOK,VAR,YOK,VAR,VAR,VAR,YOK,VAR,YOK,VAR,7811.07, https://cdn.akakce.com/lg/lg-f4r5vgw2t-wi-fi-1400-devir-9-kg-5-kg-kurutmali-z.jpg
79,Bosch WGA142XVTR 1200,Bosch,Orta Kapasite,Orta Devir,Standart Boyut,Çok Önemli,VAR,YOK,VAR,VAR,VAR,YOK,VAR,VAR,VAR,VAR,5140.0, https://cdn.akakce.com/bosch/bosch-wga142xvtr-a-1200-devir-9-kg-gri-z.jpg
80,Vestel CMI 108122,Vestel,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,VAR,YOK,VAR,VAR,YOK,VAR,YOK,YOK,YOK,3689.0, https://cdn.akakce.com/vestel/vestel-cmi-108122-wifi-a-1200-devir-10-kg-z.jpg
81,Electrolux EW8F229ST 1200,Electrolux,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,VAR,VAR,VAR,VAR,YOK,VAR,VAR,5114.07, https://cdn.akakce.com/electrolux/electrolux-ew8f229st-a-1200-devir-9-kg-z.jpg
82,Altus AL 6103,Altus,Düşük Kapasite,Orta Devir,Standart Boyut,Çok Önemli,YOK,YOK,YOK,YOK,VAR,YOK,YOK,YOK,YOK,VAR,2297.93, https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F75%2F600%2F110000016784154%2Ejpg
83,Electrolux EW6F449ST PerfectCare,Electrolux,Orta Kapasite,Yüksek Devir,YOK,Önemsiz,VAR,YOK,YOK,VAR,VAR,VAR,VAR,YOK,VAR,VAR,4131.55, https://cdn.akakce.com/electrolux/electrolux-ew6f449st-perfectcare-600-a-9-kg-1400-devir-z.jpg
84,Arçelik 9123 N,Arçelik,Orta Kapasite,Orta Devir,YOK,Çok Önemli,VAR,YOK,YOK,VAR,VAR,VAR,VAR,YOK,VAR,VAR,5999.0, https://cdn.akakce.com/arcelik/arcelik-9123-n-mg-a-1200-devir-9-kg-z.jpg
85,Arçelik 9103 YP,Arçelik,Orta Kapasite,Orta Devir,YOK,Çok Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,5068.5, https://cdn.akakce.com/arcelik/arcelik-9103-yp-a-1000-devir-9-kg-z.jpg
86,Arçelik 10145 WIFI,Arçelik,Orta Kapasite,Yüksek Devir,YOK,Önemli,VAR,VAR,YOK,YOK,VAR,VAR,YOK,YOK,VAR,VAR,6793.9, https://iis-akakce.akamaized.net/p.z?%2F%2Fst2%2Emyideasoft%2Ecom%2Fshop%2Fdv%2F76%2Fmyassets%2Fproducts%2F184%2Fimage%2Epng%3Frevision%3D1619986254
87,Hoover H3W 2102DE,Hoover,Orta Kapasite,Orta Devir,Standart Boyut,Önemsiz,YOK,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,3313.0, https://cdn.akakce.com/hoover/hoover-h3w-2102de-10-kg-1200-devir-z.jpg
88,Hoover HWP 49AMBCR/1-S,Hoover,Orta Kapasite,Yüksek Devir,Standart Boyut,Önemli,YOK,VAR,VAR,YOK,VAR,VAR,VAR,YOK,VAR,VAR,4100.0, https://cdn.akakce.com/hoover/hoover-hwp-49ambcr-1-s-1400-devir-9-kg-z.jpg
89,Arçelik 7100 MT,Arçelik,Orta Kapasite,Orta Devir,Standart Boyut,Önemsiz,VAR,YOK,YOK,YOK,VAR,YOK,VAR,YOK,VAR,VAR,3226.95, https://cdn.akakce.com/arcelik/arcelik-7100-mt-1000-devir-7-kg-z.jpg
90,Samsung WD6500T WD10T654DBN1AH,Samsung,Yüksek Kapasite,Yüksek Devir,Standart Boyut,Önemsiz,YOK,VAR,YOK,VAR,VAR,VAR,VAR,YOK,YOK,VAR,9323.25, https://cdn.akakce.com/samsung/samsung-wd6500t-wd10t654dbn1ah-air-wash-10-5-kg-6-kg-1400-devir-kurutmali-z.jpg
91,Profilo CMJ10181TR 1000,Profilo,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,VAR,VAR,YOK,YOK,YOK,VAR,VAR,3695.7, https://cdn.akakce.com/profilo/profilo-cmj10181tr-1000-devir-8-kg-z.jpg
92,Bosch WAX28M80TR 1400,Bosch,Orta Kapasite,Yüksek Devir,Standart Boyut,Çok Önemli,VAR,VAR,VAR,VAR,VAR,YOK,VAR,YOK,VAR,YOK,9000.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fst2%2Emyideasoft%2Ecom%2Fidea%2Fdr%2F49%2Fmyassets%2Fproducts%2F287%2F28m80%2D1%2Ejpg%3Frevision%3D1591015141
93,Siemens WM12TS80TR 9,Siemens,Orta Kapasite,Orta Devir,Standart Boyut,Çok Önemli,VAR,YOK,VAR,VAR,VAR,YOK,VAR,YOK,VAR,VAR,4969.0, https://cdn.akakce.com/siemens/siemens-wm12ts80tr-a-9-kg-1200-devir-z.jpg
94,Siemens WM12US90TR 1200,Siemens,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,YOK,VAR,VAR,VAR,YOK,YOK,YOK,VAR,YOK,5077.8, https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F80%2F600%2F110000021778973%2Ejpg
95,Profilo CGA254X0TR 1400,Profilo,Orta Kapasite,Yüksek Devir,Standart Boyut,Az Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,VAR,VAR,VAR,4975.5, https://cdn.akakce.com/profilo/profilo-cga254x0tr-a-1400-devir-10-kg-z.jpg
96,BEKO CM 9120,Beko,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,VAR,VAR,YOK,YOK,VAR,VAR,VAR,4300.0, https://cdn.akakce.com/beko/beko-cm-9120-1200-devir-9-kg-z.jpg
97,Vestel CM 55181,Vestel,Düşük Kapasite,Düşük Devir,YOK,Önemsiz,VAR,VAR,YOK,YOK,VAR,YOK,VAR,YOK,YOK,VAR,2542.0, https://cdn.akakce.com/z/vestel/vestel-cm-55181-800-devir-5-kg.jpg
98,Grundig GWM 91435,Grundig,Orta Kapasite,Yüksek Devir,YOK,Önemli,VAR,YOK,YOK,YOK,VAR,YOK,VAR,YOK,YOK,VAR,3999.0, https://cdn.akakce.com/grundig/grundig-gwm-91435-1400-devir-9-kg-z.jpg
99,Arçelik 8123 YCM,Arçelik,Orta Kapasite,Orta Devir,YOK,Çok Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,4599.0, https://cdn.akakce.com/arcelik/arcelik-8123-ycm-a-1200-devir-8-kg-z.jpg
100,Altus AL 9101,Altus,Orta Kapasite,Orta Devir,YOK,Çok Önemli,VAR,YOK,YOK,YOK,VAR,YOK,VAR,YOK,YOK,YOK,3498.02, https://cdn.akakce.com/altus/altus-al-9101-md-a-1000-devir-9-kg-z.jpg
101,LG F4R5VYW0W 1400,LG,Orta Kapasite,Yüksek Devir,YOK,Önemsiz,VAR,VAR,YOK,VAR,VAR,VAR,VAR,VAR,VAR,VAR,6044.07, https://cdn.akakce.com/lg/lg-f4r5vyw0w-a-1400-devir-9-kg-z.jpg
102,Altus AL 7103,Altus,Orta Kapasite,Orta Devir,YOK,Önemsiz,YOK,YOK,YOK,VAR,VAR,YOK,YOK,YOK,YOK,VAR,2696.07, https://cdn.akakce.com/altus/altus-al-7103-l-7-kg-1000-devir-z.jpg
103,Samsung WW90J5475FW 1400,Samsung,Orta Kapasite,Yüksek Devir,Standart Boyut,Çok Önemli,YOK,YOK,YOK,VAR,VAR,YOK,YOK,VAR,VAR,VAR,5504.67, https://cdn.akakce.com/samsung/samsung-ww90j5475fw-a-1400-devir-9-kg-z.jpg
104,LG F4R3TYW3WE 1400,LG,Orta Kapasite,Yüksek Devir,Standart Boyut,Çok Önemli,VAR,YOK,YOK,YOK,VAR,YOK,VAR,VAR,YOK,YOK,4547.7, https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F84%2F600%2F110000026703206%2Ejpg
105,Hoover HWP 414AMBC/1-17,Hoover,Yüksek Kapasite,Yüksek Devir,YOK,Önemli,VAR,VAR,YOK,YOK,VAR,YOK,YOK,YOK,YOK,VAR,4853.67, https://cdn.akakce.com/hoover/hoover-hwp-414ambc-1-17-wi-fi-14-kg-1400-devir-z.jpg
106,Arçelik 8100 MT,Arçelik,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,YOK,VAR,VAR,VAR,YOK,VAR,YOK,VAR,VAR,3599.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fst1%2Emyideasoft%2Ecom%2Fidea%2Fdc%2F39%2Fmyassets%2Fproducts%2F401%2F8100mt%2D1%2Epng%3Frevision%3D1617456642
107,Samsung WD6500T WD90T654DBE1AH,Samsung,Orta Kapasite,Yüksek Devir,YOK,Önemsiz,YOK,VAR,YOK,VAR,VAR,VAR,YOK,YOK,VAR,VAR,7599.2, https://cdn.akakce.com/samsung/samsung-wd90t654dbe1ah-1400-devir-9-kg-yikama-6-kg-kurutma-kapasiteli-kurutmali-camasir-makinasi-beyaz-z.jpg
108,Arçelik 8100 M,Arçelik,Orta Kapasite,Orta Devir,YOK,YOK,VAR,YOK,YOK,VAR,VAR,VAR,YOK,YOK,VAR,VAR,3818.0, https://cdn.akakce.com/arcelik/arcelik-8100-m-1000-devir-8-kg-z.jpg
109,Grundig GWM 91214,Grundig,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,YOK,VAR,YOK,VAR,YOK,VAR,VAR,3849.27, https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F71%2F600%2F110000013178153%2Ejpg
